ts,dorm,members,power_w
2026-01-18T00:00:00,Trojans Hall - 4B,4,229.4
2026-01-18T00:00:00,Cardinal House - 2A,2,219.1
2026-01-18T00:00:00,Heritage Hall - 3C,3,249.1
2026-01-18T00:00:00,Sunset Dorm - 1D,1,214.3
2026-01-18T00:00:00,Village East - 6F,6,302.2
2026-01-18T00:00:00,Apt Solo - Studio,1,147.9
2026-01-18T00:00:00,Parkside - 5E,5,237.5
2026-01-18T00:00:00,Florence Apt - 2B,2,240.4
2026-01-18T00:00:00,McCarthy Way - 4A,4,212.2
2026-01-18T00:00:00,Gateway - 3A,3,236.0
2026-01-18T00:00:00,Bunker Hill - 1A,1,214.2
2026-01-18T00:00:00,Expo House - 2C,2,215.4
2026-01-18T00:05:00,Trojans Hall - 4B,4,235.5
2026-01-18T00:05:00,Cardinal House - 2A,2,259.6
2026-01-18T00:05:00,Heritage Hall - 3C,3,217.4
2026-01-18T00:05:00,Sunset Dorm - 1D,1,223.4
2026-01-18T00:05:00,Village East - 6F,6,307.6
2026-01-18T00:05:00,Apt Solo - Studio,1,182.9
2026-01-18T00:05:00,Parkside - 5E,5,268.6
2026-01-18T00:05:00,Florence Apt - 2B,2,233.8
2026-01-18T00:05:00,McCarthy Way - 4A,4,268.6
2026-01-18T00:05:00,Gateway - 3A,3,212.8
2026-01-18T00:05:00,Bunker Hill - 1A,1,261.5
2026-01-18T00:05:00,Expo House - 2C,2,227.4
2026-01-18T00:10:00,Trojans Hall - 4B,4,218.7
2026-01-18T00:10:00,Cardinal House - 2A,2,217.1
2026-01-18T00:10:00,Heritage Hall - 3C,3,228.5
2026-01-18T00:10:00,Sunset Dorm - 1D,1,259.0
2026-01-18T00:10:00,Village East - 6F,6,280.8
2026-01-18T00:10:00,Apt Solo - Studio,1,160.9
2026-01-18T00:10:00,Parkside - 5E,5,272.3
2026-01-18T00:10:00,Florence Apt - 2B,2,232.3
2026-01-18T00:10:00,McCarthy Way - 4A,4,242.9
2026-01-18T00:10:00,Gateway - 3A,3,213.8
2026-01-18T00:10:00,Bunker Hill - 1A,1,213.6
2026-01-18T00:10:00,Expo House - 2C,2,222.4
2026-01-18T00:15:00,Trojans Hall - 4B,4,250.8
2026-01-18T00:15:00,Cardinal House - 2A,2,235.7
2026-01-18T00:15:00,Heritage Hall - 3C,3,228.8
2026-01-18T00:15:00,Sunset Dorm - 1D,1,245.1
2026-01-18T00:15:00,Village East - 6F,6,297.2
2026-01-18T00:15:00,Apt Solo - Studio,1,144.0
2026-01-18T00:15:00,Parkside - 5E,5,281.7
2026-01-18T00:15:00,Florence Apt - 2B,2,251.9
2026-01-18T00:15:00,McCarthy Way - 4A,4,224.6
2026-01-18T00:15:00,Gateway - 3A,3,244.5
2026-01-18T00:15:00,Bunker Hill - 1A,1,241.5
2026-01-18T00:15:00,Expo House - 2C,2,262.5
2026-01-18T00:20:00,Trojans Hall - 4B,4,253.8
2026-01-18T00:20:00,Cardinal House - 2A,2,227.3
2026-01-18T00:20:00,Heritage Hall - 3C,3,268.8
2026-01-18T00:20:00,Sunset Dorm - 1D,1,217.1
2026-01-18T00:20:00,Village East - 6F,6,295.1
2026-01-18T00:20:00,Apt Solo - Studio,1,171.4
2026-01-18T00:20:00,Parkside - 5E,5,243.1
2026-01-18T00:20:00,Florence Apt - 2B,2,239.3
2026-01-18T00:20:00,McCarthy Way - 4A,4,212.4
2026-01-18T00:20:00,Gateway - 3A,3,250.1
2026-01-18T00:20:00,Bunker Hill - 1A,1,255.9
2026-01-18T00:20:00,Expo House - 2C,2,244.4
2026-01-18T00:25:00,Trojans Hall - 4B,4,262.5
2026-01-18T00:25:00,Cardinal House - 2A,2,228.8
2026-01-18T00:25:00,Heritage Hall - 3C,3,251.7
2026-01-18T00:25:00,Sunset Dorm - 1D,1,245.7
2026-01-18T00:25:00,Village East - 6F,6,304.8
2026-01-18T00:25:00,Apt Solo - Studio,1,153.4
2026-01-18T00:25:00,Parkside - 5E,5,284.4
2026-01-18T00:25:00,Florence Apt - 2B,2,266.7
2026-01-18T00:25:00,McCarthy Way - 4A,4,238.4
2026-01-18T00:25:00,Gateway - 3A,3,249.8
2026-01-18T00:25:00,Bunker Hill - 1A,1,213.6
2026-01-18T00:25:00,Expo House - 2C,2,252.1
2026-01-18T00:30:00,Trojans Hall - 4B,4,248.8
2026-01-18T00:30:00,Cardinal House - 2A,2,269.6
2026-01-18T00:30:00,Heritage Hall - 3C,3,259.3
2026-01-18T00:30:00,Sunset Dorm - 1D,1,227.1
2026-01-18T00:30:00,Village East - 6F,6,293.1
2026-01-18T00:30:00,Apt Solo - Studio,1,166.1
2026-01-18T00:30:00,Parkside - 5E,5,235.4
2026-01-18T00:30:00,Florence Apt - 2B,2,237.7
2026-01-18T00:30:00,McCarthy Way - 4A,4,220.1
2026-01-18T00:30:00,Gateway - 3A,3,217.0
2026-01-18T00:30:00,Bunker Hill - 1A,1,213.5
2026-01-18T00:30:00,Expo House - 2C,2,256.1
2026-01-18T00:35:00,Trojans Hall - 4B,4,217.8
2026-01-18T00:35:00,Cardinal House - 2A,2,224.9
2026-01-18T00:35:00,Heritage Hall - 3C,3,233.5
2026-01-18T00:35:00,Sunset Dorm - 1D,1,262.3
2026-01-18T00:35:00,Village East - 6F,6,274.8
2026-01-18T00:35:00,Apt Solo - Studio,1,153.0
2026-01-18T00:35:00,Parkside - 5E,5,267.0
2026-01-18T00:35:00,Florence Apt - 2B,2,263.0
2026-01-18T00:35:00,McCarthy Way - 4A,4,259.2
2026-01-18T00:35:00,Gateway - 3A,3,261.8
2026-01-18T00:35:00,Bunker Hill - 1A,1,226.7
2026-01-18T00:35:00,Expo House - 2C,2,234.9
2026-01-18T00:40:00,Trojans Hall - 4B,4,231.5
2026-01-18T00:40:00,Cardinal House - 2A,2,263.1
2026-01-18T00:40:00,Heritage Hall - 3C,3,267.5
2026-01-18T00:40:00,Sunset Dorm - 1D,1,219.1
2026-01-18T00:40:00,Village East - 6F,6,280.6
2026-01-18T00:40:00,Apt Solo - Studio,1,139.9
2026-01-18T00:40:00,Parkside - 5E,5,248.0
2026-01-18T00:40:00,Florence Apt - 2B,2,239.1
2026-01-18T00:40:00,McCarthy Way - 4A,4,245.3
2026-01-18T00:40:00,Gateway - 3A,3,225.8
2026-01-18T00:40:00,Bunker Hill - 1A,1,210.2
2026-01-18T00:40:00,Expo House - 2C,2,235.1
2026-01-18T00:45:00,Trojans Hall - 4B,4,232.2
2026-01-18T00:45:00,Cardinal House - 2A,2,244.0
2026-01-18T00:45:00,Heritage Hall - 3C,3,267.2
2026-01-18T00:45:00,Sunset Dorm - 1D,1,251.4
2026-01-18T00:45:00,Village East - 6F,6,300.9
2026-01-18T00:45:00,Apt Solo - Studio,1,163.1
2026-01-18T00:45:00,Parkside - 5E,5,274.6
2026-01-18T00:45:00,Florence Apt - 2B,2,213.2
2026-01-18T00:45:00,McCarthy Way - 4A,4,264.0
2026-01-18T00:45:00,Gateway - 3A,3,256.8
2026-01-18T00:45:00,Bunker Hill - 1A,1,262.5
2026-01-18T00:45:00,Expo House - 2C,2,257.9
2026-01-18T00:50:00,Trojans Hall - 4B,4,233.5
2026-01-18T00:50:00,Cardinal House - 2A,2,233.9
2026-01-18T00:50:00,Heritage Hall - 3C,3,216.2
2026-01-18T00:50:00,Sunset Dorm - 1D,1,248.1
2026-01-18T00:50:00,Village East - 6F,6,273.7
2026-01-18T00:50:00,Apt Solo - Studio,1,130.0
2026-01-18T00:50:00,Parkside - 5E,5,246.5
2026-01-18T00:50:00,Florence Apt - 2B,2,219.7
2026-01-18T00:50:00,McCarthy Way - 4A,4,230.4
2026-01-18T00:50:00,Gateway - 3A,3,213.2
2026-01-18T00:50:00,Bunker Hill - 1A,1,210.0
2026-01-18T00:50:00,Expo House - 2C,2,219.1
2026-01-18T00:55:00,Trojans Hall - 4B,4,216.1
2026-01-18T00:55:00,Cardinal House - 2A,2,231.8
2026-01-18T00:55:00,Heritage Hall - 3C,3,211.5
2026-01-18T00:55:00,Sunset Dorm - 1D,1,262.5
2026-01-18T00:55:00,Village East - 6F,6,306.8
2026-01-18T00:55:00,Apt Solo - Studio,1,134.9
2026-01-18T00:55:00,Parkside - 5E,5,249.1
2026-01-18T00:55:00,Florence Apt - 2B,2,230.8
2026-01-18T00:55:00,McCarthy Way - 4A,4,231.8
2026-01-18T00:55:00,Gateway - 3A,3,217.4
2026-01-18T00:55:00,Bunker Hill - 1A,1,260.9
2026-01-18T00:55:00,Expo House - 2C,2,269.6
2026-01-18T01:00:00,Trojans Hall - 4B,4,238.0
2026-01-18T01:00:00,Cardinal House - 2A,2,239.0
2026-01-18T01:00:00,Heritage Hall - 3C,3,215.2
2026-01-18T01:00:00,Sunset Dorm - 1D,1,216.1
2026-01-18T01:00:00,Village East - 6F,6,290.6
2026-01-18T01:00:00,Apt Solo - Studio,1,141.9
2026-01-18T01:00:00,Parkside - 5E,5,283.7
2026-01-18T01:00:00,Florence Apt - 2B,2,219.7
2026-01-18T01:00:00,McCarthy Way - 4A,4,211.4
2026-01-18T01:00:00,Gateway - 3A,3,267.1
2026-01-18T01:00:00,Bunker Hill - 1A,1,241.7
2026-01-18T01:00:00,Expo House - 2C,2,218.8
2026-01-18T01:05:00,Trojans Hall - 4B,4,242.6
2026-01-18T01:05:00,Cardinal House - 2A,2,211.6
2026-01-18T01:05:00,Heritage Hall - 3C,3,241.7
2026-01-18T01:05:00,Sunset Dorm - 1D,1,268.7
2026-01-18T01:05:00,Village East - 6F,6,321.8
2026-01-18T01:05:00,Apt Solo - Studio,1,167.8
2026-01-18T01:05:00,Parkside - 5E,5,249.7
2026-01-18T01:05:00,Florence Apt - 2B,2,232.0
2026-01-18T01:05:00,McCarthy Way - 4A,4,220.0
2026-01-18T01:05:00,Gateway - 3A,3,256.3
2026-01-18T01:05:00,Bunker Hill - 1A,1,242.0
2026-01-18T01:05:00,Expo House - 2C,2,256.7
2026-01-18T01:10:00,Trojans Hall - 4B,4,229.8
2026-01-18T01:10:00,Cardinal House - 2A,2,223.4
2026-01-18T01:10:00,Heritage Hall - 3C,3,258.7
2026-01-18T01:10:00,Sunset Dorm - 1D,1,269.1
2026-01-18T01:10:00,Village East - 6F,6,321.2
2026-01-18T01:10:00,Apt Solo - Studio,1,174.4
2026-01-18T01:10:00,Parkside - 5E,5,283.1
2026-01-18T01:10:00,Florence Apt - 2B,2,254.4
2026-01-18T01:10:00,McCarthy Way - 4A,4,223.6
2026-01-18T01:10:00,Gateway - 3A,3,241.1
2026-01-18T01:10:00,Bunker Hill - 1A,1,231.3
2026-01-18T01:10:00,Expo House - 2C,2,211.7
2026-01-18T01:15:00,Trojans Hall - 4B,4,211.7
2026-01-18T01:15:00,Cardinal House - 2A,2,226.8
2026-01-18T01:15:00,Heritage Hall - 3C,3,225.6
2026-01-18T01:15:00,Sunset Dorm - 1D,1,251.6
2026-01-18T01:15:00,Village East - 6F,6,327.4
2026-01-18T01:15:00,Apt Solo - Studio,1,152.8
2026-01-18T01:15:00,Parkside - 5E,5,290.2
2026-01-18T01:15:00,Florence Apt - 2B,2,269.3
2026-01-18T01:15:00,McCarthy Way - 4A,4,267.3
2026-01-18T01:15:00,Gateway - 3A,3,231.9
2026-01-18T01:15:00,Bunker Hill - 1A,1,223.2
2026-01-18T01:15:00,Expo House - 2C,2,223.6
2026-01-18T01:20:00,Trojans Hall - 4B,4,221.8
2026-01-18T01:20:00,Cardinal House - 2A,2,222.3
2026-01-18T01:20:00,Heritage Hall - 3C,3,247.4
2026-01-18T01:20:00,Sunset Dorm - 1D,1,264.0
2026-01-18T01:20:00,Village East - 6F,6,320.4
2026-01-18T01:20:00,Apt Solo - Studio,1,154.8
