ts,home,device,power_w
2026-01-17T00:00:00,Alex,idle,185.5
2026-01-17T00:00:00,Dorm A - Floor 3,idle,208.8
2026-01-17T00:00:00,Dorm B - Floor 1,idle,230.0
2026-01-17T00:00:00,GreenHouse,idle,201.6
2026-01-17T00:00:00,PeakBusters,hvac,264.6
2026-01-17T00:00:00,SunChasers,idle,187.7
2026-01-17T00:00:00,VoltRiders,idle,211.1
2026-01-17T00:05:00,Alex,idle,185.9
2026-01-17T00:05:00,Dorm A - Floor 3,hvac,278.4
2026-01-17T00:05:00,Dorm B - Floor 1,idle,233.3
2026-01-17T00:05:00,GreenHouse,idle,192.3
2026-01-17T00:05:00,PeakBusters,hvac,261.5
2026-01-17T00:05:00,SunChasers,idle,191.1
2026-01-17T00:05:00,VoltRiders,idle,217.4
2026-01-17T00:10:00,Alex,idle,208.5
2026-01-17T00:10:00,Dorm A - Floor 3,idle,232.6
2026-01-17T00:10:00,Dorm B - Floor 1,idle,206.0
2026-01-17T00:10:00,GreenHouse,idle,183.5
2026-01-17T00:10:00,PeakBusters,idle,223.0
2026-01-17T00:10:00,SunChasers,idle,227.3
2026-01-17T00:10:00,VoltRiders,idle,223.5
2026-01-17T00:15:00,Alex,idle,227.8
2026-01-17T00:15:00,Dorm A - Floor 3,idle,240.8
2026-01-17T00:15:00,Dorm B - Floor 1,hvac,270.5
2026-01-17T00:15:00,GreenHouse,idle,201.9
2026-01-17T00:15:00,PeakBusters,idle,232.2
2026-01-17T00:15:00,SunChasers,idle,241.4
2026-01-17T00:15:00,VoltRiders,idle,207.9
2026-01-17T00:20:00,Alex,idle,210.9
2026-01-17T00:20:00,Dorm A - Floor 3,hvac,251.1
2026-01-17T00:20:00,Dorm B - Floor 1,idle,232.6
2026-01-17T00:20:00,GreenHouse,idle,219.6
2026-01-17T00:20:00,PeakBusters,hvac,252.6
2026-01-17T00:20:00,SunChasers,hvac,262.9
2026-01-17T00:20:00,VoltRiders,idle,223.5
2026-01-17T00:25:00,Alex,idle,213.3
2026-01-17T00:25:00,Dorm A - Floor 3,hvac,282.4
2026-01-17T00:25:00,Dorm B - Floor 1,idle,229.2
2026-01-17T00:25:00,GreenHouse,idle,217.8
2026-01-17T00:25:00,PeakBusters,hvac,252.6
2026-01-17T00:25:00,SunChasers,idle,191.6
2026-01-17T00:25:00,VoltRiders,idle,212.8
2026-01-17T00:30:00,Alex,idle,187.4
2026-01-17T00:30:00,Dorm A - Floor 3,hvac,267.5
2026-01-17T00:30:00,Dorm B - Floor 1,idle,227.5
2026-01-17T00:30:00,GreenHouse,idle,234.0
2026-01-17T00:30:00,PeakBusters,hvac,267.9
2026-01-17T00:30:00,SunChasers,idle,214.6
2026-01-17T00:30:00,VoltRiders,hvac,256.9
2026-01-17T00:35:00,Alex,idle,198.2
2026-01-17T00:35:00,Dorm A - Floor 3,idle,212.1
2026-01-17T00:35:00,Dorm B - Floor 1,idle,233.5
2026-01-17T00:35:00,GreenHouse,idle,197.5
2026-01-17T00:35:00,PeakBusters,hvac,264.3
2026-01-17T00:35:00,SunChasers,idle,227.0
2026-01-17T00:35:00,VoltRiders,idle,209.4
2026-01-17T00:40:00,Alex,idle,217.4
2026-01-17T00:40:00,Dorm A - Floor 3,idle,207.8
2026-01-17T00:40:00,Dorm B - Floor 1,hvac,270.4
2026-01-17T00:40:00,GreenHouse,idle,235.4
2026-01-17T00:40:00,PeakBusters,idle,196.6
2026-01-17T00:40:00,SunChasers,idle,226.5
2026-01-17T00:40:00,VoltRiders,idle,215.8
2026-01-17T00:45:00,Alex,idle,183.9
2026-01-17T00:45:00,Dorm A - Floor 3,idle,201.0
2026-01-17T00:45:00,Dorm B - Floor 1,idle,202.1
2026-01-17T00:45:00,GreenHouse,idle,193.8
2026-01-17T00:45:00,PeakBusters,idle,222.8
2026-01-17T00:45:00,SunChasers,idle,202.7
2026-01-17T00:45:00,VoltRiders,idle,241.7
2026-01-17T00:50:00,Alex,idle,184.7
2026-01-17T00:50:00,Dorm A - Floor 3,hvac,286.4
2026-01-17T00:50:00,Dorm B - Floor 1,idle,238.0
2026-01-17T00:50:00,GreenHouse,idle,177.8
2026-01-17T00:50:00,PeakBusters,hvac,266.5
2026-01-17T00:50:00,SunChasers,idle,207.9
2026-01-17T00:50:00,VoltRiders,idle,205.4
2026-01-17T00:55:00,Alex,idle,189.4
2026-01-17T00:55:00,Dorm A - Floor 3,idle,203.0
2026-01-17T00:55:00,Dorm B - Floor 1,hvac,278.8
2026-01-17T00:55:00,GreenHouse,idle,229.0
2026-01-17T00:55:00,PeakBusters,hvac,263.0
2026-01-17T00:55:00,SunChasers,idle,237.4
2026-01-17T00:55:00,VoltRiders,idle,210.9
2026-01-17T01:00:00,Alex,idle,190.0
2026-01-17T01:00:00,Dorm A - Floor 3,hvac,285.0
2026-01-17T01:00:00,Dorm B - Floor 1,hvac,271.5
2026-01-17T01:00:00,GreenHouse,idle,230.8
2026-01-17T01:00:00,PeakBusters,idle,212.9
2026-01-17T01:00:00,SunChasers,idle,189.1
2026-01-17T01:00:00,VoltRiders,idle,220.8
2026-01-17T01:05:00,Alex,idle,216.7
2026-01-17T01:05:00,Dorm A - Floor 3,idle,244.9
2026-01-17T01:05:00,Dorm B - Floor 1,hvac,287.8
2026-01-17T01:05:00,GreenHouse,idle,211.0
2026-01-17T01:05:00,PeakBusters,hvac,274.5
2026-01-17T01:05:00,SunChasers,idle,198.2
2026-01-17T01:05:00,VoltRiders,idle,200.3
2026-01-17T01:10:00,Alex,idle,215.6
2026-01-17T01:10:00,Dorm A - Floor 3,hvac,267.0
2026-01-17T01:10:00,Dorm B - Floor 1,idle,244.5
2026-01-17T01:10:00,GreenHouse,idle,235.1
2026-01-17T01:10:00,PeakBusters,hvac,260.7
2026-01-17T01:10:00,SunChasers,idle,238.8
2026-01-17T01:10:00,VoltRiders,idle,228.5
2026-01-17T01:15:00,Alex,idle,213.2
2026-01-17T01:15:00,Dorm A - Floor 3,hvac,273.8
2026-01-17T01:15:00,Dorm B - Floor 1,idle,218.1
2026-01-17T01:15:00,GreenHouse,idle,181.6
2026-01-17T01:15:00,PeakBusters,hvac,262.2
2026-01-17T01:15:00,SunChasers,idle,240.8
2026-01-17T01:15:00,VoltRiders,hvac,254.6
2026-01-17T01:20:00,Alex,idle,209.9
2026-01-17T01:20:00,Dorm A - Floor 3,idle,193.8
2026-01-17T01:20:00,Dorm B - Floor 1,hvac,261.4
2026-01-17T01:20:00,GreenHouse,idle,236.5
2026-01-17T01:20:00,PeakBusters,idle,218.5
2026-01-17T01:20:00,SunChasers,idle,211.3
2026-01-17T01:20:00,VoltRiders,idle,249.7
2026-01-17T01:25:00,Alex,idle,210.0
2026-01-17T01:25:00,Dorm A - Floor 3,idle,228.7
2026-01-17T01:25:00,Dorm B - Floor 1,hvac,265.4
2026-01-17T01:25:00,GreenHouse,idle,204.6
2026-01-17T01:25:00,PeakBusters,idle,242.6
2026-01-17T01:25:00,SunChasers,hvac,252.7
2026-01-17T01:25:00,VoltRiders,hvac,255.0
2026-01-17T01:30:00,Alex,idle,181.6
2026-01-17T01:30:00,Dorm A - Floor 3,idle,213.5
2026-01-17T01:30:00,Dorm B - Floor 1,hvac,254.0
2026-01-17T01:30:00,GreenHouse,idle,201.9
2026-01-17T01:30:00,PeakBusters,hvac,263.9
2026-01-17T01:30:00,SunChasers,idle,222.8
2026-01-17T01:30:00,VoltRiders,idle,233.5
2026-01-17T01:35:00,Alex,idle,205.7
2026-01-17T01:35:00,Dorm A - Floor 3,idle,217.1
2026-01-17T01:35:00,Dorm B - Floor 1,idle,246.1
2026-01-17T01:35:00,GreenHouse,idle,226.8
2026-01-17T01:35:00,PeakBusters,hvac,255.7
2026-01-17T01:35:00,SunChasers,idle,227.6
2026-01-17T01:35:00,VoltRiders,idle,229.3
2026-01-17T01:40:00,Alex,idle,211.0
2026-01-17T01:40:00,Dorm A - Floor 3,hvac,274.9
2026-01-17T01:40:00,Dorm B - Floor 1,hvac,274.1
2026-01-17T01:40:00,GreenHouse,idle,204.4
2026-01-17T01:40:00,PeakBusters,idle,227.8
2026-01-17T01:40:00,SunChasers,idle,206.4
2026-01-17T01:40:00,VoltRiders,hvac,257.2
2026-01-17T01:45:00,Alex,idle,185.9
2026-01-17T01:45:00,Dorm A - Floor 3,idle,245.0
2026-01-17T01:45:00,Dorm B - Floor 1,hvac,277.4
2026-01-17T01:45:00,GreenHouse,idle,216.1
2026-01-17T01:45:00,PeakBusters,hvac,270.6
2026-01-17T01:45:00,SunChasers,hvac,265.4
2026-01-17T01:45:00,VoltRiders,idle,203.2
2026-01-17T01:50:00,Alex,idle,207.2
2026-01-17T01:50:00,Dorm A - Floor 3,hvac,276.4
2026-01-17T01:50:00,Dorm B - Floor 1,idle,227.8
2026-01-17T01:50:00,GreenHouse,idle,200.7
2026-01-17T01:50:00,PeakBusters,idle,236.3
2026-01-17T01:50:00,SunChasers,idle,195.8
2026-01-17T01:50:00,VoltRiders,idle,206.2
2026-01-17T01:55:00,Alex,idle,190.3
2026-01-17T01:55:00,Dorm A - Floor 3,idle,243.5
2026-01-17T01:55:00,Dorm B - Floor 1,hvac,270.1
2026-01-17T01:55:00,GreenHouse,idle,244.1
2026-01-17T01:55:00,PeakBusters,idle,205.8
2026-01-17T01:55:00,SunChasers,idle,235.3
2026-01-17T01:55:00,VoltRiders,idle,200.7
2026-01-17T02:00:00,Alex,idle,233.1
2026-01-17T02:00:00,Dorm A - Floor 3,idle,227.1
2026-01-17T02:00:00,Dorm B - Floor 1,hvac,266.5
2026-01-17T02:00:00,GreenHouse,idle,223.4
2026-01-17T02:00:00,PeakBusters,hvac,266.5
2026-01-17T02:00:00,SunChasers,idle,223.5
2026-01-17T02:00:00,VoltRiders,idle,185.8
2026-01-17T02:05:00,Alex,idle,230.8
2026-01-17T02:05:00,Dorm A - Floor 3,hvac,260.2
2026-01-17T02:05:00,Dorm B - Floor 1,hvac,260.4
2026-01-17T02:05:00,GreenHouse,idle,199.4
2026-01-17T02:05:00,PeakBusters,idle,219.6
2026-01-17T02:05:00,SunChasers,idle,194.4
2026-01-17T02:05:00,VoltRiders,hvac,255.9
2026-01-17T02:10:00,Alex,idle,181.9
2026-01-17T02:10:00,Dorm A - Floor 3,idle,207.1
2026-01-17T02:10:00,Dorm B - Floor 1,idle,220.6
2026-01-17T02:10:00,GreenHouse,idle,202.6
2026-01-17T02:10:00,PeakBusters,idle,196.2
2026-01-17T02:10:00,SunChasers,idle,188.2
2026-01-17T02:10:00,VoltRiders,idle,202.5
2026-01-17T02:15:00,Alex,idle,217.7
2026-01-17T02:15:00,Dorm A - Floor 3,idle,231.8
2026-01-17T02:15:00,Dorm B - Floor 1,idle,217.2
2026-01-17T02:15:00,GreenHouse,idle,212.3
2026-01-17T02:15:00,PeakBusters,hvac,282.4
2026-01-17T02:15:00,SunChasers,idle,223.3
2026-01-17T02:15:00,VoltRiders,idle,248.3
2026-01-17T02:20:00,Alex,idle,226.8
2026-01-17T02:20:00,Dorm A - Floor 3,hvac,255.0
2026-01-17T02:20:00,Dorm B - Floor 1,idle,225.9
2026-01-17T02:20:00,GreenHouse,idle,178.9
2026-01-17T02:20:00,PeakBusters,hvac,259.0
2026-01-17T02:20:00,SunChasers,idle,196.5
2026-01-17T02:20:00,VoltRiders,idle,233.3
2026-01-17T02:25:00,Alex,idle,227.6
2026-01-17T02:25:00,Dorm A - Floor 3,idle,215.0
2026-01-17T02:25:00,Dorm B - Floor 1,idle,232.6
2026-01-17T02:25:00,GreenHouse,idle,199.9
2026-01-17T02:25:00,PeakBusters,hvac,272.1
2026-01-17T02:25:00,SunChasers,idle,237.7
2026-01-17T02:25:00,VoltRiders,hvac,252.6
2026-01-17T02:30:00,Alex,idle,197.6
2026-01-17T02:30:00,Dorm A - Floor 3,idle,220.6
2026-01-17T02:30:00,Dorm B - Floor 1,idle,239.7
2026-01-17T02:30:00,GreenHouse,idle,204.3
2026-01-17T02:30:00,PeakBusters,idle,192.6
2026-01-17T02:30:00,SunChasers,idle,209.8
2026-01-17T02:30:00,VoltRiders,idle,198.6
2026-01-17T02:35:00,Alex,idle,190.1
2026-01-17T02:35:00,Dorm A - Floor 3,idle,244.0
2026-01-17T02:35:00,Dorm B - Floor 1,hvac,257.6
2026-01-17T02:35:00,GreenHouse,idle,237.1
2026-01-17T02:35:00,PeakBusters,hvac,255.9
2026-01-17T02:35:00,SunChasers,idle,210.2
2026-01-17T02:35:00,VoltRiders,idle,210.6
2026-01-17T02:40:00,Alex,idle,221.0
2026-01-17T02:40:00,Dorm A - Floor 3,hvac,258.0
2026-01-17T02:40:00,Dorm B - Floor 1,hvac,269.7
2026-01-17T02:40:00,GreenHouse,idle,204.2
2026-01-17T02:40:00,PeakBusters,hvac,273.1
2026-01-17T02:40:00,SunChasers,hvac,253.9
2026-01-17T02:40:00,VoltRiders,idle,248.5
2026-01-17T02:45:00,Alex,idle,225.3
2026-01-17T02:45:00,Dorm A - Floor 3,idle,197.1
2026-01-17T02:45:00,Dorm B - Floor 1,idle,221.5
2026-01-17T02:45:00,GreenHouse,idle,222.2
2026-01-17T02:45:00,PeakBusters,idle,200.1
2026-01-17T02:45:00,SunChasers,idle,240.2
2026-01-17T02:45:00,VoltRiders,idle,235.1
2026-01-17T02:50:00,Alex,idle,230.8
2026-01-17T02:50:00,Dorm A - Floor 3,idle,242.9
2026-01-17T02:50:00,Dorm B - Floor 1,idle,208.5
2026-01-17T02:50:00,GreenHouse,idle,199.9
2026-01-17T02:50:00,PeakBusters,hvac,282.9
2026-01-17T02:50:00,SunChasers,idle,209.0
2026-01-17T02:50:00,VoltRiders,idle,200.1
2026-01-17T02:55:00,Alex,idle,202.8
2026-01-17T02:55:00,Dorm A - Floor 3,hvac,254.3
2026-01-17T02:55:00,Dorm B - Floor 1,hvac,254.7
2026-01-17T02:55:00,GreenHouse,idle,187.5
2026-01-17T02:55:00,PeakBusters,idle,202.4
2026-01-17T02:55:00,SunChasers,idle,216.2
2026-01-17T02:55:00,VoltRiders,idle,200.7
2026-01-17T03:00:00,Alex,idle,187.3
2026-01-17T03:00:00,Dorm A - Floor 3,hvac,258.8
2026-01-17T03:00:00,Dorm B - Floor 1,idle,226.8
2026-01-17T03:00:00,GreenHouse,idle,208.2
2026-01-17T03:00:00,PeakBusters,hvac,284.5
2026-01-17T03:00:00,SunChasers,idle,211.8
2026-01-17T03:00:00,VoltRiders,idle,197.6
2026-01-17T03:05:00,Alex,idle,197.9
2026-01-17T03:05:00,Dorm A - Floor 3,hvac,283.8
2026-01-17T03:05:00,Dorm B - Floor 1,idle,220.5
2026-01-17T03:05:00,GreenHouse,idle,230.9
2026-01-17T03:05:00,PeakBusters,idle,219.7
2026-01-17T03:05:00,SunChasers,idle,219.5
2026-01-17T03:05:00,VoltRiders,idle,224.9
2026-01-17T03:10:00,Alex,idle,216.9
2026-01-17T03:10:00,Dorm A - Floor 3,hvac,264.0
2026-01-17T03:10:00,Dorm B - Floor 1,hvac,266.4
2026-01-17T03:10:00,GreenHouse,idle,181.2
2026-01-17T03:10:00,PeakBusters,idle,220.3
2026-01-17T03:10:00,SunChasers,idle,210.2
2026-01-17T03:10:00,VoltRiders,idle,214.5
2026-01-17T03:15:00,Alex,idle,226.7
2026-01-17T03:15:00,Dorm A - Floor 3,hvac,250.1
2026-01-17T03:15:00,Dorm B - Floor 1,idle,216.4
2026-01-17T03:15:00,GreenHouse,idle,231.3
2026-01-17T03:15:00,PeakBusters,hvac,257.1
2026-01-17T03:15:00,SunChasers,idle,214.9
2026-01-17T03:15:00,VoltRiders,idle,218.3
2026-01-17T03:20:00,Alex,idle,202.9
2026-01-17T03:20:00,Dorm A - Floor 3,idle,199.4
2026-01-17T03:20:00,Dorm B - Floor 1,hvac,258.8
2026-01-17T03:20:00,GreenHouse,idle,231.8
2026-01-17T03:20:00,PeakBusters,hvac,274.0
