ts,dorm,members,power_w
2026-01-19T00:00:00,Birnkrant - 8C,3,208.3
2026-01-19T00:10:00,Birnkrant - 8C,3,232.8
2026-01-19T00:20:00,Birnkrant - 8C,3,232.0
2026-01-19T00:30:00,Birnkrant - 8C,3,278.3
2026-01-19T00:40:00,Birnkrant - 8C,3,219.1
2026-01-19T00:50:00,Birnkrant - 8C,3,192.1
2026-01-19T01:00:00,Birnkrant - 8C,3,282.9
2026-01-19T01:10:00,Birnkrant - 8C,3,212.6
2026-01-19T01:20:00,Birnkrant - 8C,3,165.8
2026-01-19T01:30:00,Birnkrant - 8C,3,174.8
2026-01-19T01:40:00,Birnkrant - 8C,3,237.4
2026-01-19T01:50:00,Birnkrant - 8C,3,194.4
2026-01-19T02:00:00,Birnkrant - 8C,3,167.1
2026-01-19T02:10:00,Birnkrant - 8C,3,259.6
2026-01-19T02:20:00,Birnkrant - 8C,3,245.2
2026-01-19T02:30:00,Birnkrant - 8C,3,235.7
2026-01-19T02:40:00,Birnkrant - 8C,3,255.5
2026-01-19T02:50:00,Birnkrant - 8C,3,192.2
2026-01-19T03:00:00,Birnkrant - 8C,3,190.4
2026-01-19T03:10:00,Birnkrant - 8C,3,236.9
2026-01-19T03:20:00,Birnkrant - 8C,3,270.1
2026-01-19T03:30:00,Birnkrant - 8C,3,238.4
2026-01-19T03:40:00,Birnkrant - 8C,3,255.0
2026-01-19T03:50:00,Birnkrant - 8C,3,230.2
2026-01-19T04:00:00,Birnkrant - 8C,3,206.4
2026-01-19T04:10:00,Birnkrant - 8C,3,280.2
2026-01-19T04:20:00,Birnkrant - 8C,3,194.7
2026-01-19T04:30:00,Birnkrant - 8C,3,256.3
2026-01-19T04:40:00,Birnkrant - 8C,3,225.0
2026-01-19T04:50:00,Birnkrant - 8C,3,214.4
2026-01-19T05:00:00,Birnkrant - 8C,3,267.4
2026-01-19T05:10:00,Birnkrant - 8C,3,227.4
2026-01-19T05:20:00,Birnkrant - 8C,3,168.9
2026-01-19T05:30:00,Birnkrant - 8C,3,196.6
